评论ID,国家,原始评论,分词后评论
f4eedb75b5774fbc,中国,2022年Part.2完結便覺得完結篇非常適合用劇場版規格收尾，雖然最終還是分成了Part.3和Part.4在小螢幕完結，但如今的總結篇總算順應民意，讓粉絲有機會在大銀幕幫艾連送終，在新年第一週，能在聲光效果包覆感更強的大銀幕體驗完結篇，體驗地鳴音效所帶來的毀滅性震撼，完成身為巨人粉實質意義上的補完，已了無遺憾。劇場版完結篇總集內容無更動，但是在音效升級的情況下電影感便完全凸顯出來了，雖然最終沒以IMAX規格上映終究有些遺憾，但是能再次在大銀幕重溫畫面以及音效上的所有細節，外加片末的原創彩蛋達成戲裡與戲外的交流呼應，完成了身為巨人粉實質意義上的「補完」，看完真有種太他X值得的欣喜感，謝謝你替我圍上圍巾，謝謝創哥和Mappa給了巨人粉絲一次在大銀幕補完的機會，能跟你們一起看電影真的很開心。,2022 年 Part.2 完結 便 覺得 完結篇 非常 適 合用 劇場 版 規格 收尾 ， 雖然 最終 還是 分成 了 Part.3 和 Part.4 在 小 螢幕 完結 ， 但 如今 的 總 結篇 總算 順應 民意 ， 讓 粉絲 有 機會 在 大銀幕 幫艾連 送終 ， 在 新年 第一 週 ， 能 在 聲光 效果 包覆 感更強 的 大銀幕 體驗 完結篇 ， 體驗 地鳴 音效 所帶 來 的 毀滅性 震撼 ， 完成 身為 巨人 粉實質 意義上 的 補 完 ， 已 了 無 遺憾 。 劇場 版 完 結篇 總集 內容 無 更動 ， 但是 在 音效 升級 的 情況 下 電影感 便 完全 凸顯 出來 了 ， 雖然 最終 沒以 IMAX 規格 上映 終究 有些 遺憾 ， 但是 能 再次 在 大銀幕 重溫 畫面 以及 音效 上 的 所有 細節 ， 外加 片末 的 原創 彩蛋 達成 戲裡 與 戲外 的 交流 呼應 ， 完成 了 身為 巨人 粉實質 意義上 的 「 補完 」 ， 看 完真 有種 太 他 X 值得 的 欣喜 感 ， 謝謝 你 替 我圍 上 圍巾 ， 謝謝 創哥 和 Mappa 給了 巨人 粉絲 一次 在 大銀幕 補 完 的 機會 ， 能 跟 你 們 一起 看電影 真的 很 開心 。
f1082fd2f10745c0,中国,完结两年后又从头到尾重刷了一遍，于是在这里标记一下 第四季地鸣后的剧情当时不是很喜欢已经印象不深，于是重看又被这些瞬间震撼到，Gabi和Sasha重合的背影，Armin在屋檐上一跃而下，重新换上旧式的调查兵团制服的教官，还有最后韩吉说巨人真是太好了……?? 现在觉得这个结局真的已经很厉害了，最后两方人围着营火的对话，分镜是一片片昏暗的被树枝切碎的天空，死者的意义由生者决定，我们何时能走够出丛林……,完结 两年 后 又 从头到尾 重刷 了 一遍 ， 于是 在 这里 标记 一下   第四季 地鸣 后 的 剧情 当时 不是 很 喜欢 已经 印象 不深 ， 于是 重看 又 被 这些 瞬间 震撼 到 ， Gabi 和 Sasha 重合 的 背影 ， Armin 在 屋檐 上 一跃 而 下 ， 重新 换上 旧式 的 调查 兵团 制服 的 教官 ， 还有 最后 韩吉说 巨人 真是 太好了 … … ??   现在 觉得 这个 结局 真的 已经 很 厉害 了 ， 最后 两方 人 围着 营火 的 对话 ， 分镜 是 一片片 昏暗 的 被 树枝 切碎 的 天空 ， 死者 的 意义 由生者 决定 ， 我们 何时能 走够 出 丛林 … …
f1126c89d46c4663,中国,就是最终完结篇的前篇和后篇连起来做成的电影，追了十年巨人对这个结局还算满意吧，问题在于画面崩坏有点多。正如片尾艾伦所说，他试过很多种方法也改变不了结局，只有杀掉80%人让伙伴变成阻止他的英雄才能停止战争，让他这种蠢蛋拥有强大力量，对他本人来说是折磨。男主变反派，最后一杀普通人全变巨人，让三笠亲手杀了艾伦太残忍了，结局巨人力量消失，大家也变回普通人，曾经死去的的人影再现也是种慰藉。和平了一段时间，三笠直到死也带着那条围巾，多年后战争又开始，男孩走进埋葬艾伦的树洞，巨人新的轮回又开始。加了彩蛋，未来的三人在电影院看完电影结束讨论着结局。,就是 最终 完结篇 的 前 篇 和 后 篇 连 起来 做成 的 电影 ， 追 了 十年 巨人 对 这个 结局 还 算 满意 吧 ， 问题 在于 画面 崩坏 有点 多 。 正如 片尾 艾伦 所说 ， 他试 过 很 多种 方法 也 改变 不了 结局 ， 只有 杀掉 80% 人 让 伙伴 变成 阻止 他 的 英雄 才能 停止 战争 ， 让 他 这种 蠢蛋 拥有 强大 力量 ， 对 他 本人 来说 是 折磨 。 男主变 反派 ， 最后 一杀 普通人 全变 巨人 ， 让 三笠 亲手 杀 了 艾伦 太 残忍 了 ， 结局 巨人 力量 消失 ， 大家 也 变回 普通人 ， 曾经 死去 的 的 人影 再现 也 是 种 慰藉 。 和平 了 一段时间 ， 三笠 直到 死 也 带 着 那条 围巾 ， 多年 后 战争 又 开始 ， 男孩 走进 埋葬 艾伦 的 树洞 ， 巨人 新 的 轮回 又 开始 。 加 了 彩蛋 ， 未来 的 三人 在 电影院 看 完 电影 结束 讨论 着 结局 。
8d98482b64954544,中国,终于看完了，一直听说看到最后就好了，看到后面就好了，就像老太太的裹脚布一样又臭又长，看完只想说 就这？ 啰啰嗦嗦，每集回闪回忆等等真的让人很烦。 好的故事一定是迫不及待的想往下看，巨人是啰嗦拖拉但是说这个剧很厉害所以逼自己看下去，累 唯一好的点是基本上每个人物都花时间刻画了，这就导致这个人物死的时候你会真情实感的感觉到难过，伤心。 画风就不想吐槽了，你以为是一部动漫，实际是个恐怖片，经常搞些恶心人的东西出来吓死你,终于 看 完 了 ， 一直 听说 看到 最后 就 好 了 ， 看到 后面 就 好 了 ， 就 像 老太太 的 裹脚布 一样 又臭又长 ， 看 完 只 想 说   就 这 ？   啰啰嗦嗦 ， 每集 回闪 回忆 等等 真的 让 人 很烦 。   好 的 故事 一定 是 迫不及待 的 想 往 下 看 ， 巨人 是 啰嗦 拖拉 但是 说 这个 剧 很 厉害 所以 逼 自己 看 下去 ， 累   唯一 好 的 点 是 基本上 每个 人物 都 花 时间 刻画 了 ， 这 就 导致 这个 人物 死 的 时候 你 会 真情实感 的 感觉 到 难过 ， 伤心 。   画风 就 不想 吐槽 了 ， 你 以为 是 一部 动漫 ， 实际 是 个 恐怖片 ， 经常 搞些 恶心 人 的 东西 出来 吓死 你
811be6f6d8d44e5b,中国,池袋看的，工作日下午，影院除了前四排都是满员。1.同去友人提出，弗洛克死亡分镜没剪辑有张力版本略遗憾。2.前两章总体好于后两章。韩吉牺牲，感谢艾伦消灭巨人之力（你这不是胡扯），砍头那儿绷不住狂笑，重看仍然是毫无意义的桥段。jsc垂“死”挣扎，不是写以浓墨感情就能掩盖。艾伦和阿明的谈话应该在飞行艇以道路结束，带着强烈地辖制和惊恐，两人最终失去了和解的全部可能，互相留存的应只有过去尚未面对真正难题前的惺惺相惜。三笠听到艾伦在非平行世界的最后一句话是“我非常讨厌你”。（艾伦最后充满爱意的眼神也删掉了，知道吃妈巨真相的阿明镜头也过短）作品虽然名义上结束了，但对其解读仍可进击。后半程实在过于“无奈”。3.巨人仍然完成度较高，作者水平超高，值得反复阅读观看和思考。影院巨大声音击穿我的身体！战争巨帅啊！地鸣效果好,池袋 看 的 ， 工作日 下午 ， 影院 除了 前 四排 都 是 满员 。 1 . 同去 友人 提出 ， 弗 洛克 死亡 分镜 没 剪辑 有 张力 版本 略 遗憾 。 2 . 前 两章 总体 好于 后 两章 。 韩吉 牺牲 ， 感谢 艾伦 消灭 巨人 之力 （ 你 这 不是 胡扯 ） ， 砍头 那儿 绷 不住 狂笑 ， 重看 仍然 是 毫无意义 的 桥段 。 jsc 垂 “ 死 ” 挣扎 ， 不是 写以 浓墨 感情 就 能 掩盖 。 艾伦 和 阿明 的 谈话 应该 在 飞行 艇 以 道路 结束 ， 带 着 强烈 地 辖制 和 惊恐 ， 两人 最终 失去 了 和解 的 全部 可能 ， 互相 留存 的 应 只有 过去 尚未 面对 真正 难题 前 的 惺惺相惜 。 三笠 听到 艾伦 在 非 平行 世界 的 最后 一句 话 是 “ 我 非常 讨厌 你 ” 。 （ 艾伦 最后 充满 爱意 的 眼神 也 删掉 了 ， 知道 吃 妈 巨 真相 的 阿明 镜头 也 过 短 ） 作品 虽然 名义 上 结束 了 ， 但 对 其 解读 仍 可 进击 。 后半程 实在 过于 “ 无奈 ” 。 3 . 巨人 仍然 完成度 较 高 ， 作者 水平 超高 ， 值得 反复 阅读 观看 和 思考 。 影院 巨大 声音 击穿 我 的 身体 ！ 战争 巨帅 啊 ！ 地鸣 效果 好
bc8f38fbdc964242,中国,呜呜呜呜我也是9号厅，哭累了呜呜呜呜呜呜呜（mikasa变misamisa了，好可爱啊,呜呜 呜呜 我 也 是 9 号 厅 ， 哭累 了 呜 呜呜 呜呜 呜呜 （ mikasa 变 misamisa 了 ， 好 可爱 啊
64cfca1badd042e4,中国,電影版最後的結尾太棒了。,電 影版 最後的 結尾 太棒了 。
a068907287e14b21,中国,问：为什么巨人的口碑在21年烂尾之后，现在突然回升了，豆瓣还能有9分的高分？ 答：因为没热度了，粉丝都提纯了，现在就一小圈子报团取暖，风评就被扭回来了呗。对巨人失望的大多人已经不关注巨人了，结果就剩下一群过度解读的粉丝在高强度做时空警察对线,问 ： 为什么 巨人 的 口碑 在 21 年 烂尾 之后 ， 现在 突然 回升 了 ， 豆瓣 还 能 有 9 分 的 高分 ？   答 ： 因为 没 热度 了 ， 粉丝 都 提纯 了 ， 现在 就 一 小圈子 报团 取暖 ， 风评 就 被 扭 回来 了 呗 。 对 巨人 失望 的 大多 人 已经 不 关注 巨人 了 ， 结果 就 剩下 一群 过度 解读 的 粉丝 在 高强度 做 时空 警察 对线
16beb361535b4508,中国,这回终于是真正的完结了。巨人消失了，但战争还在，纷争还在，因为，我们是愚蠢的人类。 watch on Netflix,这回 终于 是 真正 的 完结 了 。 巨人 消失 了 ， 但 战争 还 在 ， 纷争 还 在 ， 因为 ， 我们 是 愚蠢 的 人类 。   watch   on   Netflix
6768ea5b9b024c41,中国,神作。没有之一。所谓极致就是如此了。,神作 。 没有 之一 。 所谓 极致 就是 如此 了 。
9bb82a3ad75742ba,中国,右派独有的反思，自以为接受了世界，故作成熟地思考悲剧，却看不到表象之下的历史与逻辑,右派 独有 的 反思 ， 自 以为 接受 了 世界 ， 故作 成熟 地 思考 悲剧 ， 却 看不到 表象 之下 的 历史 与 逻辑
de472a5fa49342bc,中国,如果你硬要生的话，那么：接受世界的不完美，但尽力让它变得更好；即使最终失败，也不要主动放弃所有希望；然后无愧无悔的死去。,如果 你 硬 要生 的话 ， 那么 ： 接受 世界 的 不 完美 ， 但 尽力 让 它 变得 更好 ； 即使 最终 失败 ， 也 不要 主动 放弃 所有 希望 ； 然后 无愧 无悔 的 死去 。
0694de59cf3241bc,中国,发现美高彩蛋动画加了个小彩虹旗,发现 美高 彩蛋 动画 加 了 个 小 彩虹 旗
951e5860d8da4b6c,中国,喜欢这个三人结尾,喜欢 这个 三人 结尾
c9578b5cbd25409f,中国,自己一个人来看真是太好了，因为实在哭的太惨了。。散场出来看到工作人员收爆米花桶，另一边有一些拿着爆米花和可乐等着进场的人，过着平和的日常真是太好了。灯亮起后坐在后面的男生说，これで本当に終わったんだな進撃。??????！！！,自己 一个 人 来看 真是 太好了 ， 因为 实在 哭 的 太 惨 了 。 。 散场 出来 看到 工作人员 收 爆米花 桶 ， 另一边 有 一些 拿 着 爆米花 和 可乐 等 着 进场 的 人 ， 过 着 平和 的 日常 真是 太好了 。 灯亮 起后 坐在 后面 的 男生 说 ， こ れ で 本当 に 終 わ っ た ん だ な 進 撃 。 ?? ?? ?? ！ ！ ！
5dc3ac1519c04d2d,中国,第二次看，燃得要死也哭得要死，从艾伦说对不起就开始哭，一路哭到结尾。屠龙少年终成恶龙。塔塔开！,第二次 看 ， 燃得 要死 也 哭 得 要死 ， 从 艾伦 说 对不起 就 开始 哭 ， 一路 哭 到 结尾 。 屠龙 少年 终成 恶龙 。 塔塔开 ！
4fce6c043ad443ff,中国,（我是第3000个评价诶）25.3.2 Vue West End 1号小厅还坐挺满的，就是屏幕小，下次要坐前排...其实一直没看TV最近正好有着急兑换的电影票就决定来看了，然后临时恶补八十多集的剧情头晕眼花，还好电影里主要就是打打打说说说，拖了两个半小时也大概看明白了：祸端由女人恋爱脑而起，最后还得靠女人挥泪斩情丝拯救世界，就算拯救了也没用，因为有人类的地方就有无穷的杀戮，但是一代人有一代人的战场吧，壮烈了主要就是图个心安（感觉男二比女主还爱男主啊，这仨人就是相爱相杀的和谐一家吗,（ 我 是 第 3000 个 评价 诶 ） 25.3 . 2   Vue   West   End   1 号 小厅 还 坐 挺 满 的 ， 就是 屏幕 小 ， 下次 要 坐 前排 ... 其实 一直 没看 TV 最近 正好 有 着急 兑换 的 电影票 就 决定 来看 了 ， 然后 临时 恶补 八十多 集 的 剧情 头晕眼花 ， 还好 电影 里 主要 就是 打打 打说 说 说 ， 拖 了 两个 半小时 也 大概 看 明白 了 ： 祸端 由 女人 恋爱 脑而起 ， 最后 还 得 靠 女人 挥泪 斩 情丝 拯救 世界 ， 就算 拯救 了 也 没用 ， 因为 有 人类 的 地方 就 有 无穷的 杀戮 ， 但是 一代人 有 一代人 的 战场 吧 ， 壮烈 了 主要 就是 图个 心安 （ 感觉 男二比 女主 还 爱 男主 啊 ， 这 仨 人 就是 相爱 相杀 的 和谐 一家 吗
fe17a6fdef4c4b3c,中国,不看后悔，看了也后悔,不看 后悔 ， 看 了 也 后悔
151d1dbb2ee641cd,中国,一年了也没啥优化槽点还是很多，但眼睛还是尿尿了。 5250人9.3?,一年 了 也 没 啥 优化 槽 点 还是 很多 ， 但 眼睛 还是 尿 尿 了 。   5250 人 9.3 ?
4245146abb724f00,中国,完全没看过剧版，还是挺震撼的。,完全 没 看过 剧版 ， 还是 挺 震撼 的 。
8855fbcf2e1f4786,中国,假设上面的设定成立，墙外的艾尔迪亚人就是如此充满奴性的卑贱民族，那第四季主角团的圣母般的”大义灭亲“仍旧非常不合理。为了拯救世界，屠杀自己所有族人的宇助波鼬的行为如果还能勉强理解；那为了拯救世界，去献祭自己同胞几十万人，去手刃同袍，仍然坚信这是“正义”的圣母，这样的人都恰好聚集在调查兵团主角团里面，就令人难以置信了。 作者想将主角团置于和最开始莱纳潜入墙内一样的境地，但”战士“们一来有亲属做人质，二来有长久的洗脑教育，最后还经历反复退缩甚至精神崩溃才做到这一步的。主角团喊着”等价交换“，就能扯着大义的旗去牺牲岛内的人？为了完成这畸形的英雄壮举还要手刃同袍。如果说因为他们的亲属多半已经葬身巨人之口，立场已经站在大陆人那边，那将岛内同胞全部卖掉这点简直是恶魔行径。 我想不到合理化他们动机,假设 上面 的 设定 成立 ， 墙外 的 艾尔迪亚人 就是 如此 充满 奴性 的 卑贱 民族 ， 那 第四季 主角 团 的 圣母 般的 ” 大义灭亲 “ 仍旧 非常 不合理 。 为了 拯救 世界 ， 屠杀 自己 所有 族人 的 宇助波 鼬 的 行为 如果 还 能 勉强 理解 ； 那 为了 拯救 世界 ， 去 献祭 自己 同胞 几十万 人 ， 去 手刃 同袍 ， 仍然 坚信 这是 “ 正义 ” 的 圣母 ， 这样 的 人 都 恰好 聚集 在 调查 兵团 主角 团 里面 ， 就 令人 难以置信 了 。   作者 想 将 主角 团 置于 和 最 开始 莱纳 潜入 墙内 一样 的 境地 ， 但 ” 战士 “ 们 一来 有 亲属 做 人质 ， 二来 有 长久 的 洗脑 教育 ， 最后 还 经历 反复 退缩 甚至 精神 崩溃 才 做到 这 一步 的 。 主角 团喊 着 ” 等价交换 “ ， 就 能 扯 着 大义 的 旗 去 牺牲 岛内 的 人 ？ 为了 完成 这 畸形 的 英雄 壮举 还要 手刃 同袍 。 如果说 因为 他们 的 亲属 多半 已经 葬身 巨人 之口 ， 立场 已经 站 在 大陆 人 那边 ， 那 将 岛内 同胞 全部 卖掉 这点 简直 是 恶魔 行径 。   我 想不到 合理化 他们 动机
5a8a1789710544b3,中国,为了彩蛋,为了 彩蛋
8c8999fe3afd4578,中国,令人震惊的剧场版…残酷的反战悲歌……,令人震惊 的 剧场版 … 残酷 的 反战 悲歌 … …
481dc28e7b0b4e84,中国,???25.3.19新店裕隆城威秀 來到海的那邊，在一個想象中沒有限制的自由新世界，發現它並非我以為的那樣，然後坦然接受與試圖了解。 看完彩蛋，淚流滿面和角色們認真告別了。幾年來受到的創傷被毫無保留地看見與撫慰。 最觸動的還是有人看見落葉，有人看見棒球，“可能我就是為了與ta們一起奔跑的那一刻活著吧”“可能我就是為了和你玩拋接球才活著吧”。 也越來越切身體會到跨過仇恨的血海，嘗試去理解的力量，就像阿爾敏始終會去握住艾倫的手，擁抱他。這個世界越是分化與割裂，我們就渴望聯結。 而“一個像我這樣的蠢蛋，獲得了巨大力量”也是真的，世上有太多具有偽飾性的精明蠢蛋。 對三笠而言，親手斬斷執念下的支配，才獲得深深銘記的愛與自由。 賈碧法爾柯一起種樹致敬flipped，理解與重新開始。 但性別意識還是落後。,?? ? 25.3 . 19 新店 裕隆 城威秀   來 到 海 的 那邊 ， 在 一個 想象 中 沒 有 限制 的 自由 新世界 ， 發現 它 並非 我 以 為 的 那樣 ， 然 後 坦然 接受 與 試圖 了解 。   看 完 彩蛋 ， 淚流 滿面 和 角色 們 認真 告別 了 。 幾年 來 受到 的 創傷 被 毫無 保留地 看見 與 撫慰 。   最觸動 的 還是 有人 看見 落葉 ， 有人 看見 棒球 ， “ 可能 我 就是 為 了 與 ta 們 一起 奔跑 的 那一刻 活著 吧 ” “ 可能 我 就是 為 了 和 你 玩 拋 接球 才 活著 吧 ” 。   也 越來 越 切身 體會 到 跨過 仇恨 的 血海 ， 嘗試 去 理解 的 力量 ， 就 像 阿爾敏始 終會 去 握住 艾倫 的 手 ， 擁抱 他 。 這個 世界 越是 分化 與 割裂 ， 我們 就 渴望 聯結 。   而 “ 一個 像 我 這樣 的 蠢蛋 ， 獲得 了 巨大力量 ” 也 是 真的 ， 世上 有太多 具有 偽飾性 的 精明 蠢蛋 。   對三笠 而言 ， 親手 斬斷 執念下 的 支配 ， 才 獲得 深深 銘記 的 愛與 自由 。   賈碧法爾柯 一起 種樹 致敬 flipped ， 理解 與 重新 開始 。   但 性別 意識 還是 落 後 。
0f8e19980aea4b7a,中国,没看完弃了，以为是新的，不忍看第二遍了,没看 完弃 了 ， 以为 是 新 的 ， 不忍 看 第二遍 了
dfc13937a43645da,中国,可惡啊戰鬥和文戲還是那麼好看除了海邊ea對話。。,可惡 啊 戰鬥 和文 戲還 是 那麼 好看 除了 海邊 ea 對話 。 。
702150650d834790,中国,把最终季的完结篇打包成电影在大荧幕上上映是日本动漫公司现今最爱的操作了，多赚一笔的举动也无可厚非。唯一的亮点或许在结尾的彩蛋，原来答案从一开始就已经揭晓了。(动漫第一季第一集标题：献给两千年后的自己…),把 最终 季 的 完结篇 打包 成 电影 在 大 荧幕 上 上映 是 日本 动漫 公司 现今 最爱 的 操作 了 ， 多 赚 一笔 的 举动 也 无可厚非 。 唯一 的 亮点 或许 在 结尾 的 彩蛋 ， 原来 答案 从 一 开始 就 已经 揭晓 了 。 ( 动漫 第一季 第一集 标题 ： 献给 两千年 后 的 自己 … )
7a2beb468b454806,中国,在全场满座里重温一次最后篇章，还是在韩吉牺牲的时候流下眼泪。虽然坐了两个多小时只为了那几分钟的彩蛋，但是看到艾三阿三人组也跟我们一样，对着屏幕吃着爆米花，又觉得好像就是一星半点多的新物料也珍惜。我爱AOT. Cineplex. IV.,在 全场 满座 里 重温 一次 最后 篇章 ， 还是 在 韩吉 牺牲 的 时候 流下 眼泪 。 虽然 坐 了 两个 多 小时 只 为了 那 几分钟 的 彩蛋 ， 但是 看到 艾三阿三人组 也 跟 我们 一样 ， 对 着 屏幕 吃 着 爆米花 ， 又 觉得 好像 就是 一星半点 多 的 新 物料 也 珍惜 。 我 爱 AOT .   Cineplex .   IV .
49f2363d76224af0,中国,屯门新都英皇，最终特典场。虽然剧情已然二刷，但实在太好哭了，终于在大银幕前完成对近十年最爱动漫的致敬。,屯门 新 都 英皇 ， 最终 特典 场 。 虽然 剧情 已然 二刷 ， 但 实在 太好 哭 了 ， 终于 在 大 银幕 前 完成 对 近十年 最 爱 动漫 的 致敬 。
37f5dacdd9f741c7,中国,军国主义倭人的狼子野心终究还是暴露了。 艾伦的坟头不过是另一种形式的靖国鬼厕罢了。一个甲级战犯搞得跟他妈圣人似的。 倭人对战争的核心反思永远只是自己在事后遭受了多少惩罚，而不是自己对受害者做过的错事。这种思想被包装美化成了“反战”，本质上实质上却只是“反战败”。,军国主义 倭人 的 狼子野心 终究 还是 暴露 了 。   艾伦 的 坟头 不过 是 另 一种 形式 的 靖国 鬼厕 罢了 。 一个 甲级战犯 搞 得 跟 他 妈 圣人 似的 。   倭人 对 战争 的 核心 反思 永远 只是 自己 在 事后 遭受 了 多少 惩罚 ， 而 不是 自己 对 受害者 做过 的 错事 。 这种 思想 被 包装 美化 成 了 “ 反战 ” ， 本质 上 实质 上 却 只是 “ 反 战败 ” 。
c23a6bffc9204ab0,中国,十多年的等待,十多年 的 等待
c11e96eb435345ea,中国,写实动漫。进击巨人之力，就是巨大的权力，最后给世界带来巨大灾难。,写实 动漫 。 进击 巨人 之力 ， 就是 巨大 的 权力 ， 最后 给 世界 带来 巨大 灾难 。
bef817a7aef6465e,中国,三笠真的超级爱，我真的很不喜欢男主，从头到尾都不喜欢男主。兵长是我的男神。,三笠 真的 超级 爱 ， 我 真的 很 不 喜欢 男主 ， 从头到尾 都 不 喜欢 男主 。 兵长 是 我 的 男神 。
61c4324618794b3f,中国,相当于又刷了一遍，不过，彩蛋里高高的兵长帅爆了，“能和你们一起看这个电影真的很开心，如果有一天他们出了续集，我们也一起去看吧”～致永远的自由之翼～,相当于 又 刷 了 一遍 ， 不过 ， 彩蛋 里 高高的 兵长帅 爆 了 ， “ 能 和 你们 一起 看 这个 电影 真的 很 开心 ， 如果 有 一天 他们 出 了 续集 ， 我们 也 一起 去 看吧 ” ～ 致 永远 的 自由 之翼 ～
9e05f8c86a2b43a0,中国,彩蛋好玩,彩蛋 好玩
047aef9db88e4cfe,中国,三笠最后砍头的心理活动： 没有让那天成为最后一面，太好了，艾伦，我们又见面了。,三笠 最后 砍头 的 心理 活动 ：   没有 让 那天 成为 最后 一面 ， 太好了 ， 艾伦 ， 我们 又 见面 了 。
1c93044c283946de,中国,一百年后的兵长成清洁工了,一百年 后 的 兵 长成 清洁工 了
10473320595243b8,中国,感动之余还是好震撼，不知道什么时候还能看到这样的作品了，还有彩蛋里三人组里阿尔敏和三笠变成阴暗hot nerd男、哥特女挺可爱的。,感动 之 余 还是 好 震撼 ， 不 知道 什么 时候 还 能 看到 这样 的 作品 了 ， 还有 彩蛋 里 三人 组里 阿尔敏 和 三笠 变成 阴暗 hot   nerd 男 、 哥特 女挺 可爱 的 。
b6bdd5597f524625,中国,5 这次是真的结束了，人设是否崩塌，剧情是否烂尾，伏笔是否收回，这些问题都已经不重要了，我只想由衷的对这部陪伴了我这么多年的作品说一声：谢谢,5   这次 是 真的 结束 了 ， 人设 是否 崩塌 ， 剧情 是否 烂尾 ， 伏笔 是否 收回 ， 这些 问题 都 已经 不 重要 了 ， 我 只 想 由衷 的 对 这部 陪伴 了 我 这么 多年 的 作品 说 一声 ： 谢谢
3566aff9d95940f1,中国,其实看之前纠结了一晚上要不要找J一起去看，毕竟当时说好了要一起。但最后还是决定自己去，“不要再依赖对方的回应来验证这段回忆的价值”。,其实 看 之前 纠结 了 一 晚上 要 不要 找 J 一起 去 看 ， 毕竟 当时 说好 了 要 一起 。 但 最后 还是 决定 自己 去 ， “ 不要 再 依赖 对方 的 回应 来 验证 这 段 回忆 的 价值 ” 。
ad59251d7ee34335,中国,这个影院版是最终季合集吧，看到阿伦和阿明深情对视还是以为他们要结吻,这个 影院 版 是 最终 季 合集 吧 ， 看到 阿伦 和 阿明 深情 对视 还是 以为 他们 要 结吻
06624ebd31034d95,中国,二合一而已,二合一 而已
f20636db98ff4e13,中国,四星,四星
9c4d1c8950a6465c,中国,艾伦以为杀了墙外80%的人，就能让帕拉迪岛获得自由，结果自己被女友三笠砍掉脑袋，20年后战争还是爆发了，帕拉迪岛依旧被夷为平地,艾伦 以为 杀 了 墙外 80% 的 人 ， 就 能 让 帕拉迪 岛 获得 自由 ， 结果 自己 被 女友 三笠 砍掉 脑袋 ， 20 年 后 战争 还是 爆发 了 ， 帕拉迪 岛 依旧 被 夷为平地
be527c878af94b90,中国,aot真的太伟大了,aot 真的 太 伟大 了
cb6ed433fb984e4c,中国,好棒的彩蛋，一百年后,好 棒 的 彩蛋 ， 一百年 后
bc853e17f60343da,中国,片尾加了电影院的新彩蛋。,片尾 加 了 电影院 的 新 彩蛋 。
215bebb271264d33,中国,（隔天早上起来赶飞机还在后劲中…）2.25德国上映，买到了原声英字场次，还成功拉了一个朋友上车（两周补完四季她也是勇士qaq），进影院电子屏上上下下都是AOT海报，人头攒动有如粉丝包场，等待开播的影厅氛围也像过节。好笑的地方不管在哪个部分全场都会大笑，（我）痛苦的地方则听不到什么声音，不知道是隐没在了电影的声效中，还是只是沉默。倒是开场时此起彼伏的嚼爆米花声后来也基本消失了。我自己从两个小孩倒下的时候就控制不住眼泪了，以至于到后面只是持续在哭……且还不断有新的刺激加入：）离第一次看完结篇已经过了将近一年半，许多细节都不记得了，所以比如看见萨沙再次出现时几乎完全哽住。像敏说的，第一次看时更多是冲击，回顾尽是悲伤。エレン、いってらっしゃい。但是彩蛋真好，艾伦就是那样的孩子。为了孩子能走出森林。,（ 隔天 早上 起来 赶 飞机 还 在 后劲 中 … ） 2.25 德国 上映 ， 买到 了 原声 英字 场次 ， 还 成功 拉 了 一个 朋友 上车 （ 两周 补完 四季 她 也 是 勇士 qaq ） ， 进影院 电子屏 上上下下 都 是 AOT 海报 ， 人头攒动 有如 粉丝 包场 ， 等待 开播 的 影厅 氛围 也 像 过节 。 好笑 的 地方 不管 在 哪个 部分 全场 都 会 大笑 ， （ 我 ） 痛苦 的 地方 则 听 不到 什么 声音 ， 不 知道 是 隐没 在 了 电影 的 声效 中 ， 还是 只是 沉默 。 倒 是 开场 时 此起彼伏 的 嚼 爆米花 声 后来 也 基本 消失 了 。 我 自己 从 两个 小孩 倒下 的 时候 就 控制 不住 眼泪 了 ， 以至于 到 后面 只是 持续 在 哭 … … 且 还 不断 有 新 的 刺激 加入 ： ） 离 第一次 看 完结篇 已经 过 了 将近 一年 半 ， 许多 细节 都 不 记得 了 ， 所以 比如 看见 萨沙 再次出现 时 几乎 完全 哽住 。 像敏 说 的 ， 第一次 看时 更 多 是 冲击 ， 回顾 尽 是 悲伤 。 エ レ ン 、 い っ て ら っ し ゃ い 。 但是 彩蛋 真 好 ， 艾伦 就是 那样 的 孩子 。 为了 孩子 能 走出 森林 。
9a2dfaa052024b42,中国,非常棒，剧场版还有个挺有意思的彩蛋。,非常 棒 ， 剧场版 还有 个 挺 有意思 的 彩蛋 。
61dff302ed7e47d0,中国,贺岁档终于有一个能看的了 一个完结 画面很美,贺岁 档 终于 有 一个 能 看 的 了   一个 完结   画面 很 美
11783f24c3914c8f,中国,神作 最后能在电影院终结 也是最好的归宿 多希望那些只是一场电影 一场梦,神作   最后 能 在 电影院 终结   也 是 最好 的 归宿   多 希望 那些 只是 一场 电影   一场 梦
